update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
10001,50000,7161,0.6605,6.88,0.0000,0.6880,0.0000,0.000383,0.9240,0,68.4
22501,100000,14257,0.6790,7.08,0.0000,0.7080,0.0000,0.000345,0.8290,0,147.8
35001,150000,21257,0.6735,7.02,0.0000,0.7020,0.0000,0.000339,0.7340,1,227.6
47501,200000,28179,0.7003,7.31,0.0000,0.7310,0.0000,0.000340,0.6390,1,308.4
60001,250000,35022,0.7012,7.32,0.0000,0.7320,0.0000,0.000340,0.5440,2,390.1
72501,300000,41761,0.7095,7.41,0.0000,0.7410,0.0000,0.000340,0.4490,3,462.8
85001,350000,48416,0.7261,7.59,0.0000,0.7590,0.0000,0.000327,0.3540,4,535.4
97501,400000,54971,0.7408,7.75,0.0000,0.7750,0.0000,0.000358,0.2590,8,609.5
110001,450000,61438,0.7491,7.84,0.0000,0.7840,0.0000,0.000312,0.1640,14,685.4
122501,500000,67801,0.7463,7.81,0.0000,0.7810,0.0000,0.000320,0.0690,17,760.9
135001,550000,74083,0.7528,7.88,0.0000,0.7880,0.0000,0.000343,0.0500,26,837.2
147501,600000,80303,0.7802,8.07,0.0100,0.8070,0.0000,0.000293,0.0500,41,914.1
160001,650000,86451,0.7930,8.32,0.0000,0.8320,0.0000,0.000282,0.0500,51,991.7
172501,700000,92546,0.7811,8.19,0.0000,0.8190,0.0000,0.000278,0.0500,73,1070.3
185001,750000,98602,0.7811,8.19,0.0000,0.8190,0.0000,0.000353,0.0500,100,1148.0
197501,800000,104600,0.7967,8.36,0.0000,0.8360,0.0000,0.000302,0.0500,134,1227.0
210001,850000,110543,0.7976,8.37,0.0000,0.8370,0.0000,0.000435,0.0500,172,1306.9
222501,900000,116449,0.8394,8.50,0.0300,0.8500,0.0000,0.000502,0.0500,225,1386.9
235001,950000,122329,0.8194,8.50,0.0100,0.8500,0.0000,0.000462,0.0500,291,1468.5
247501,1000000,128173,0.8440,8.55,0.0300,0.8550,0.0000,0.000549,0.0500,354,1528.2
260001,1050000,133992,0.8567,8.58,0.0400,0.8580,0.0000,0.000722,0.0500,433,1614.4
272501,1100000,139781,0.8703,8.62,0.0500,0.8620,0.0000,0.001214,0.0500,487,1701.2
285001,1150000,145456,1.4252,9.12,0.5600,0.9120,0.0000,0.003141,0.0500,502,1789.4
297501,1200000,150763,1.5461,9.35,0.6600,0.9350,0.0000,0.001851,0.0500,503,1878.7
310001,1250000,156061,1.5961,9.46,0.7000,0.9460,0.0000,0.002000,0.0500,506,1969.5
322501,1300000,161348,1.5697,9.39,0.6800,0.9390,0.0000,0.001915,0.0500,508,2061.8
335001,1350000,166642,1.5161,9.35,0.6300,0.9350,0.0000,0.001549,0.0500,514,2155.9
347501,1400000,171927,1.5653,9.45,0.6700,0.9450,0.0000,0.001432,0.0500,517,2255.1
360001,1450000,177216,1.6306,9.51,0.7300,0.9510,0.0000,0.001211,0.0500,520,2349.3
372501,1500000,182510,1.6579,9.48,0.7600,0.9480,0.0000,0.001325,0.0500,524,2444.0
385001,1550000,187793,1.6033,9.43,0.7100,0.9430,0.0000,0.000933,0.0500,526,2537.6
397501,1600000,193076,1.6352,9.56,0.7300,0.9560,0.0000,0.000757,0.0500,528,2631.7
410001,1650000,198377,1.6079,9.48,0.7100,0.9480,0.0000,0.000508,0.0500,529,2726.8
422501,1700000,203669,1.6761,9.57,0.7700,0.9570,0.0000,0.000646,0.0500,532,2822.2
435001,1750000,208969,1.7096,9.61,0.8000,0.9610,0.0000,0.000419,0.0500,534,2917.7
447501,1800000,214271,1.6198,9.50,0.7200,0.9500,0.0000,0.000591,0.0500,536,3014.0
460001,1850000,219571,1.5570,9.36,0.6700,0.9360,0.0000,0.000634,0.0500,539,3110.5
472501,1900000,224867,1.5252,9.34,0.6400,0.9340,0.0000,0.000528,0.0500,542,3206.7
485001,1950000,230175,1.6434,9.54,0.7400,0.9540,0.0000,0.000557,0.0500,542,3302.2
497501,2000000,235471,1.5588,9.38,0.6700,0.9380,0.0000,0.000451,0.0500,543,3393.0
